trip_name,page_views,unique_visitors,avg_session_duration,bounce_rate,conversion_rate,avg_session_duration_sec,year,latest_year,latest_global_satisfaction,latest_organization,latest_budget_tier,global_sat_change,organization_change
Mountain Hiking in the Swiss Alps,142497,16260,23.3s,0.45,0.015,23.3,2024,2023.0,8.6,8.2,B,2.3,-1.3000000000000007
Kayaking in the Norwegian Fjords,96390,12282,25.2s,0.5,0.012,25.2,2024,,,,,,
Cycling Tour in the Pyrenees,111707,14480,21.9s,0.48,0.018000000000000002,21.9,2024,2023.0,8.6,8.6,A,0.5,0.7999999999999998
Historical Tour of Rome,152355,20292,30.9s,0.4,0.019,30.9,2024,2020.0,7.0,8.5,D,,
Cultural Immersion in Prague,132790,17410,26.8s,0.42,0.016,26.8,2024,2023.0,7.4,7.2,B,-1.0,0.40000000000000036
Art and Architecture in Barcelona,143853,18253,29.8s,0.43,0.017,29.8,2024,2023.0,5.8,7.3,A,0.0,0.2999999999999998
Beach Vacation in the Balearic Islands,162959,22402,33.8s,0.38,0.018000000000000002,33.8,2024,2023.0,6.9,7.0,C,-2.5,-1.9000000000000004
Spa Retreat in the Austrian Alps,91779,11349,24.2s,0.47,0.013999999999999999,24.2,2024,2023.0,7.0,6.8,C,-0.20000000000000018,-0.7000000000000002
Countryside Escape in Tuscany,126419,16291,28.3s,0.44,0.015,28.3,2024,2023.0,8.2,8.8,B,5.299999999999999,5.000000000000001
Wildlife Watching in the Scottish Highlands,101830,13335,23.8s,0.46,0.013000000000000001,23.8,2024,,,,,,
"Northern Lights in Lapland, Finland",136561,18419,31.4s,0.41,0.017,31.4,2024,,,,,,
"Forest Exploration in the Black Forest, Germany",116257,15215,27.4s,0.45,0.016,27.4,2024,,,,,,
Gourmet Tour of Italy,171871,24301,34.8s,0.37,0.019,34.8,2024,2022.0,10.0,9.9,B,0.9000000000000004,0.09999999999999964
"Wine and Dine in Bordeaux, France",146777,19349,32.5s,0.39,0.018000000000000002,32.5,2024,2023.0,7.5,8.7,B,0.20000000000000018,0.29999999999999893
Cheese and Chocolate Tour in Switzerland,112490,14328,24.1s,0.44,0.015,24.1,2024,2023.0,8.8,9.0,B,1.700000000000001,1.0
Mediterranean Cruise from Spain to Italy,161383,21278,35.0s,0.36,0.019,35.0,2024,2023.0,7.2,7.1,C,-0.8999999999999995,-0.5
"Castle Tour in Bavaria, Germany",121862,16495,27.6s,0.43,0.016,27.6,2024,2023.0,10.0,9.3,B,1.9000000000000004,0.20000000000000107
"Vineyard Tour in the Douro Valley, Portugal",131406,17280,29.4s,0.42,0.017,29.4,2024,2023.0,8.0,8.0,C,0.20000000000000018,0.09999999999999964
